ID,Name,Address,Latitude,Longitude,Rank,Review Number,Mean Price,Category,Business Circle
22171611,"孔乙己尚宴","滨江大道2100","31.24371","121.50476","五星商户","270","￥300","本帮江浙菜","陆家嘴"
21173577,"耶里夏丽新疆餐厅(正大陆家嘴店)","陆家嘴西路168号正大广场2楼17-18号","31.23703","121.49928","五星商户","5094","￥91","新疆菜","陆家嘴"
500164,"东方明珠旋转餐厅","世纪大道1号东方明珠电视塔","31.23913","121.49966","准四星商户","1946","￥312","自助餐","陆家嘴"
8876744,"文华厨房","浦东南路111号上海浦东文华东方酒店LG层","31.24362","121.50727","准五星商户","1103","￥327","自助餐","陆家嘴"
17661660,"Miss Ma马小姐-蔬彩马卡龙专门店","世纪大道100号环球金融中心3楼310室","31.23462","121.50772","准五星商户","607","￥58","面包甜点","陆家嘴"
19790099,"元素西餐厅","陆家嘴环路1288号上海凯宾斯基大酒店1楼","31.24218","121.50401","五星商户","700","￥250","自助餐","陆家嘴"
3891871,"Flair Rooftop","世纪大道8号上海国金中心丽思卡尔顿酒店58楼","31.23663","121.50131","五星商户","1664","￥292","其他","陆家嘴"
1928641,"浦东香格里拉大酒店","富城路33号","31.23564","121.49935","五星商户","5515","￥1006","五星级/豪华型","陆家嘴"
3699892,"晶采轩(浦东店)","银城中路68号时代金融中心2-3楼","31.24128","121.5067","准五星商户","925","￥185","粤菜","陆家嘴"
5864562,"3D魔幻趣味馆","滨江大道2789号外滩观光隧道B2楼","31.23884","121.49694","准五星商户","986","￥40","展馆展览","陆家嘴"
566514,"翡翠36餐厅","富城路33号香格里拉大酒店紫金楼36楼","31.23571","121.4991","准五星商户","1120","￥481","西餐","陆家嘴"
23100214,"成隆行蟹王府(金茂店)","世纪大道88号裙房金茂时尚生活馆6楼","31.23555","121.50618","五星商户","1011","￥367","蟹宴","陆家嘴"
19281854,"星米年糕火锅(上海正大广场店)","陆家嘴西路168号正大广场B2层1A-01","31.23703","121.49928","四星商户","3625","￥57","韩国料理","陆家嘴"
506785,"浦东香格里拉怡咖啡","富城路33号浦东香格里拉大酒店紫金楼2楼","31.23571","121.4991","五星商户","4883","￥341","自助餐","陆家嘴"
3020776,"俏江南(上海环球金融中心店)","世纪大道100号上海环球金融中心3楼307室http://www.southbeauty.com","31.23457","121.50769","五星商户","3409","￥139","川菜","陆家嘴"
8845597,"小辉哥火锅(正大广场店)","陆家嘴西路168号正大广场8楼02A号铺","31.2374","121.50012","准五星商户","6612","￥132","火锅","陆家嘴"
22466925,"Win House(正大广场店)","正大广场陆家嘴西路168号1楼GF27/GF37","31.23731","121.49912","五星商户","765","￥116","西餐","陆家嘴"
13795581,"大蔬无界(环球金融中心馆)","世纪大道100号上海环球金融中心3楼","31.23457","121.50796","五星商户","914","￥184","素菜","陆家嘴"
584350,"La Verbena","滨江大道2792号","31.24097","121.49755","准五星商户","1297","￥418","西餐","陆家嘴"
3285346,"拉蒂娜Latina(陆家嘴店)","陆家嘴环路165号2楼","31.23548","121.50101","准五星商户","1508","￥220","西餐","陆家嘴"
1795417,"东方明珠塔","世纪大道1号","31.23976","121.49964","准五星商户","5476","￥169","城市观光","陆家嘴"
22681532,"Aza Aza！芝心年糕料理(正大广场店)","陆家嘴西路168号正大广场8楼","31.2374","121.50012","准五星商户","684","￥57","韩国料理","陆家嘴"
8729366,"皇玺酒家","浦东南路27号","31.24353","121.50653","五星商户","1496","￥191","海鲜","陆家嘴"
22376725,"Hatsune 隐泉日式料理(滨江店)","陆家嘴滨江大道2100号","31.24382","121.50591","准五星商户","131","￥176","日本菜","陆家嘴"
21294388,"春在（上海菜）","富城路182号","31.23333","121.49995","准五星商户","435","￥144","本帮江浙菜","陆家嘴"
10022263,"旺池川菜(正大店)","陆家嘴西路168号正大广场7楼-01号铺","31.23778","121.50035","五星商户","2939","￥83","川菜","陆家嘴"
22824497,"潮堂(上海环球金融中心店)","世纪大道100号上海环球金融中心3楼","31.23456","121.5073","准五星商户","405","￥114","粤菜","陆家嘴"
24338791,"2015小黄人主题展","东方明珠城市广场8号门","31.23955","121.50079","四星商户","803","￥117","文化艺术","陆家嘴"
2064157,"张生记(正大广场店)","陆家嘴西路168号正大广场6楼42-44号铺","31.23738","121.50015","四星商户","4614","￥148","本帮江浙菜","陆家嘴"
19438265,"东方明珠Coca-Cola欢乐餐厅(可口可乐欢乐餐厅)","世纪大道1号东方明珠塔8号门,地铁2号线陆家嘴站1号出口对面","31.23936","121.50111","准五星商户","2136","￥200","自助餐","陆家嘴"
4120574,"海逸海鲜(滨江大道店)","滨江大道2450号","31.24283","121.50218","五星商户","2092","￥185","粤菜","陆家嘴"
24711011,"猫山王榴莲MusangKing(猫叔正大广场店)","陆家嘴西路168号正大广场2楼2f12","31.23685","121.49926","五星商户","653","￥38","面包甜点","陆家嘴"
502532,"俏江南(正大广场店)","陆家嘴西路168号正大广场10楼","31.23732","121.49997","准五星商户","8998","￥157","川菜","陆家嘴"
503292,"上海金茂君悦咖啡厅","世纪大道88号金茂君悦大酒店54层","31.23488","121.50559","准五星商户","2947","￥369","自助餐","陆家嘴"
1862086,"正大广场","陆家嘴西路168号","31.23636","121.49812","准五星商户","8445","￥188","综合商场","陆家嘴"
5363770,"上海环球金融中心","世纪大道100号上海环球金融中心","31.23456","121.50795","五星商户","725","￥147","综合商场","陆家嘴"
4074265,"金牛苑(国金店)","世纪大道8号上海国金中心3楼L3-19号","31.2374","121.50126","准五星商户","2834","￥174","东南亚菜","陆家嘴"
2758972,"上海小南国(国会店)","滨江大道2727号东方滨江大酒店7楼","31.23925","121.49696","准五星商户","674","￥216","本帮江浙菜","陆家嘴"
502186,"上海小南国(国发店)","浦东南路500号国家开发银行4楼","31.23697","121.51039","准五星商户","1755","￥161","本帮江浙菜","陆家嘴"
4676107,"天泰餐厅(国金中心店)","世纪大道8号国金中心4楼L4-05","31.23661","121.50124","准五星商户","2472","￥179","东南亚菜","陆家嘴"
8842719,"泰亭泰国时尚餐厅 Thai in(滨江大道店)","陆家嘴滨江大道2600号","31.24212","121.49996","五星商户","1303","￥235","东南亚菜","陆家嘴"
505181,"喜多屋国际海鲜料理(正大广场店)","陆家嘴西路168号正大广场7楼04-06号铺","31.23674","121.49919","四星商户","17905","￥248","海鲜","陆家嘴"
17874542,"同源堂蔬食馆","张杨路500号华润时代广场4楼","31.22716","121.51718","五星商户","752","￥91","素菜","八佰伴"
2420359,"柏悦酒店","世纪大道100号上海环球金融中心79-93楼","31.2345","121.50775","准五星商户","759","￥2147","五星级/豪华型","陆家嘴"
506589,"老山东","浦东南路379号金穗大厦6楼","31.23925","121.51047","五星商户","3575","￥112","其他","陆家嘴"
6029790,"浦东四季酒店","世纪大道210号二十一世纪大厦30-41楼","31.23412","121.51023","五星商户","481","￥1733","五星级/豪华型","陆家嘴"
22508939,"和府捞面(96广场店)","东方路796号96广场1楼","31.22736","121.52523","准五星商户","1670","￥43","小吃快餐","陆家嘴"
501060,"上海金茂君悦烧烤餐厅","世纪大道88号金茂君悦大酒店56楼","31.23504","121.50581","五星商户","579","￥351","西餐","陆家嘴"
17943744,"拉祜纳云南时尚餐厅","陆家嘴环路1188号R-1商铺","31.24184","121.50571","四星商户","939","￥109","云南菜","陆家嘴"
1795153,"星美国际影城(正大店)","浦东新区 陆家嘴西路168号正大广场8楼","31.23704","121.50011","准五星商户","20106","￥52","电影院","陆家嘴"
